week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1981-03-30/1981-04-05,25.754761904761903,46.541666666666664,10.72797619047619,0.0,0.0,0,1009.8869047619048,945.1613095238096,7.023809523809523,6.994047619047619,0.4404761904761904,1.5297619047619049,2.1101190476190474,9.501190476190477,272
1981-04-06/1981-04-12,29.9077380952381,27.363095238095237,6.473214285714286,0.0,0.0,0,1008.5553571428571,944.7642857142857,0.08928571428571427,0.0,0.0357142857142857,0.2202380952380952,3.438690476190476,8.229166666666668,7
1981-04-13/1981-04-19,28.46309523809524,48.61904761904761,13.939880952380951,0.0,0.0,0,1009.7577380952381,945.5976190476191,2.4583333333333335,1.9583333333333333,0.13690476190476192,2.011904761904762,2.4375,11.815476190476192,252
1981-04-20/1981-04-26,27.9875,49.75,14.052380952380952,0.0,0.0,0,1011.0749999999999,946.7392857142856,21.214285714285715,3.363095238095238,4.9940476190476195,50.67857142857143,2.2804761904761905,9.767857142857142,242
1981-04-27/1981-05-03,30.126190476190477,38.13095238095237,12.988095238095239,1.6,1.6,0,1010.5273809523809,946.672619047619,26.797619047619044,0.0238095238095238,20.863095238095237,47.51190476190476,2.8752380952380956,8.142857142857142,3
1981-05-04/1981-05-10,28.34583333333333,52.70238095238095,15.335714285714285,0.0,0.0,0,1007.6988095238095,943.6559523809523,8.202380952380953,2.642857142857143,5.654761904761905,7.946428571428571,2.2133333333333334,9.230952380952383,261
1981-05-11/1981-05-17,28.24047619047619,60.857142857142854,18.235119047619047,0.7000000000000001,0.7000000000000001,0,1007.4934523809524,943.4380952380952,12.970238095238097,9.821428571428571,6.845238095238095,0.005952380952380943,1.8448214285714286,12.666666666666668,253
1981-05-18/1981-05-24,27.24404761904762,64.94047619047619,19.04404761904762,1.0,1.0,0,1007.7678571428571,943.4970238095239,23.148809523809522,22.452380952380945,4.238095238095238,1.2202380952380951,1.496904761904762,16.947619047619046,245
1981-05-25/1981-05-31,27.883928571428573,64.39880952380952,19.344642857142855,0.0,0.0,0,1007.5910714285714,943.4607142857142,16.035714285714285,16.208333333333332,2.369047619047619,0.07142857142857141,1.6181547619047618,15.309523809523808,270
1981-06-01/1981-06-07,27.94404761904762,68.2202380952381,20.633928571428573,2.0,2.0,0,1005.514880952381,941.5291666666666,38.327380952380956,32.12499999999999,6.767857142857143,18.065476190476186,1.4107142857142858,15.645833333333332,248
