date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
2000-02-22,21.90416666666667,47.125,8.641666666666667,0.0,0.0,0,1010.7458333333334,945.1541666666667,3.9166666666666665,0.041666666666666664,6.333333333333333,0.0,1.5916666666666668,5.804166666666667,45
2000-02-23,22.554166666666664,60.5,12.933333333333332,0.0,0.0,0,1011.5208333333334,946.0208333333334,8.75,1.875,11.666666666666666,0.0,1.3345833333333335,9.229166666666666,77
2000-02-24,21.245833333333334,78.75,17.083333333333332,0.5,0.5,0,1013.3249999999999,947.4375,32.041666666666664,23.5,18.0,0.0,0.6175,9.945833333333335,84
2000-02-25,21.825,65.04166666666667,14.279166666666667,0.0,0.0,0,1011.9166666666666,946.2541666666666,19.0,12.625,12.75,0.0,1.0441666666666667,8.233333333333333,105
2000-02-26,21.695833333333336,52.416666666666664,10.4,0.0,0.0,0,1010.8291666666668,945.1999999999999,0.7083333333333334,0.625,0.125,0.0,1.4370833333333335,6.833333333333333,54
2000-02-27,22.954166666666666,47.166666666666664,10.270833333333334,0.0,0.0,0,1011.975,946.5375,0.0,0.0,0.0,0.0,1.6533333333333333,8.870833333333334,41
2000-02-28,23.90416666666667,36.208333333333336,7.129166666666666,0.0,0.0,0,1014.1374999999999,948.7583333333333,0.08333333333333333,0.0,0.0,0.20833333333333334,2.0570833333333334,10.629166666666666,88
2000-02-29,23.629166666666666,36.291666666666664,6.070833333333333,0.0,0.0,0,1013.0791666666668,947.6958333333333,0.0,0.0,0.0,0.041666666666666664,2.1350000000000002,8.112499999999999,95
2000-03-01,24.670833333333334,33.458333333333336,5.895833333333333,0.0,0.0,0,1011.3541666666666,946.3083333333334,0.08333333333333333,0.0,0.0,0.20833333333333334,2.36625,7.925,277
2000-03-02,24.145833333333332,32.875,4.945833333333334,0.0,0.0,0,1012.0124999999999,946.8208333333333,0.0,0.0,0.0,0.0,2.31375,9.525,249
2000-03-03,23.03333333333333,36.25,5.391666666666667,0.0,0.0,0,1012.3791666666666,946.9125,0.0,0.0,0.0,0.0,2.0858333333333334,9.612499999999999,240
2000-03-04,21.395833333333332,40.875,4.429166666666666,0.0,0.0,0,1011.9708333333333,946.1833333333334,0.2916666666666667,0.0,0.0,0.9583333333333334,1.8545833333333333,10.220833333333333,270
2000-03-05,21.983333333333334,46.791666666666664,7.541666666666667,0.0,0.0,0,1010.9958333333334,945.4,0.9583333333333334,1.0833333333333333,0.0,0.0,1.7029166666666666,5.454166666666667,225
2000-03-06,21.775000000000002,48.625,7.191666666666666,0.0,0.0,0,1010.9541666666668,945.3166666666666,0.125,0.125,0.0,0.0,1.6729166666666666,8.954166666666667,245
2000-03-07,19.704166666666666,55.958333333333336,9.054166666666667,0.0,0.0,0,1012.4625,946.2791666666667,3.2083333333333335,3.5833333333333335,0.0,0.0,1.2283333333333333,10.366666666666667,270
2000-03-08,21.34583333333333,35.75,3.7583333333333333,0.0,0.0,0,1011.9958333333334,946.2125,0.0,0.0,0.0,0.0,1.8304166666666666,7.675000000000001,12
2000-03-09,22.77916666666667,31.041666666666668,3.2375000000000003,0.0,0.0,0,1011.0958333333333,945.6791666666667,0.0,0.0,0.0,0.0,2.1166666666666667,5.3999999999999995,60
2000-03-10,23.22083333333333,40.166666666666664,6.2,0.0,0.0,0,1011.0791666666668,945.7375000000001,0.0,0.0,0.0,0.0,2.0304166666666665,6.733333333333333,268
2000-03-11,23.204166666666666,42.166666666666664,6.929166666666667,0.0,0.0,0,1011.0791666666668,945.7375000000001,0.041666666666666664,0.0,0.0,0.125,1.9854166666666666,9.75,272
2000-03-12,22.441666666666666,54.166666666666664,10.125,0.0,0.0,0,1009.9833333333332,944.5541666666667,6.458333333333333,7.166666666666667,0.0,0.0,1.5654166666666667,13.008333333333333,240
2000-03-13,21.0125,68.41666666666667,13.858333333333334,0.0,0.0,0,1010.2958333333332,944.5625,25.75,28.583333333333332,0.0,0.0,0.9625,12.7125,256
2000-03-14,22.383333333333336,57.833333333333336,10.358333333333333,0.0,0.0,0,1011.9833333333332,946.4166666666666,8.083333333333334,8.958333333333334,0.0,0.0,1.4833333333333334,5.4875,69
2000-03-15,23.1125,55.375,10.525,0.0,0.0,0,1012.2041666666668,946.7666666666668,11.416666666666666,12.708333333333334,0.0,0.0,1.6525,6.145833333333333,252
2000-03-16,22.433333333333334,49.958333333333336,7.983333333333333,0.0,0.0,0,1011.2208333333333,945.7166666666667,1.6666666666666667,1.875,0.0,0.0,1.7316666666666667,7.383333333333333,259
2000-03-17,23.045833333333334,53.708333333333336,10.262500000000001,0.0,0.0,0,1009.6208333333334,944.3416666666667,0.5,0.0,0.0,1.625,1.6925,6.558333333333334,259
2000-03-18,24.162499999999998,47.125,9.954166666666667,0.0,0.0,0,1010.8041666666667,945.6958333333333,1.75,0.0,0.0,5.666666666666667,1.9058333333333335,6.741666666666667,304
2000-03-19,25.433333333333334,24.958333333333332,1.6041666666666667,0.0,0.0,0,1011.1791666666667,946.3125,0.0,0.0,0.0,0.0,2.6687499999999997,8.799999999999999,14
2000-03-20,25.916666666666668,20.75,-0.12083333333333333,0.0,0.0,0,1010.125,945.4208333333332,0.0,0.0,0.0,0.0,2.895,7.445833333333333,9
2000-03-21,25.912499999999998,26.125,2.9125,0.0,0.0,0,1010.0625,945.3708333333334,0.0,0.0,0.0,0.0,2.7737499999999997,7.6625000000000005,277
2000-03-22,24.2625,34.5,5.558333333333334,0.0,0.0,0,1010.8333333333334,945.7333333333332,0.0,0.0,0.0,0.0,2.285833333333333,8.654166666666667,282
2000-03-23,25.125,26.541666666666668,3.420833333333333,0.0,0.0,0,1012.2541666666666,947.25,0.0,0.0,0.0,0.0,2.5483333333333333,8.575000000000001,39
2000-03-24,26.258333333333336,21.5,2.1583333333333337,0.0,0.0,0,1012.6166666666667,947.8291666666668,0.0,0.0,0.0,0.0,2.81375,12.3375,77
2000-03-25,26.166666666666668,27.208333333333332,4.658333333333333,0.0,0.0,0,1012.2125,947.4208333333332,0.5416666666666666,0.0,0.875,0.041666666666666664,2.6841666666666666,9.416666666666666,76
2000-03-26,27.09166666666667,27.833333333333332,5.704166666666667,0.0,0.0,0,1011.3833333333333,946.85,4.416666666666667,0.0,7.291666666666667,0.0,2.8487500000000003,8.708333333333334,75
2000-03-27,27.195833333333336,27.166666666666668,5.204166666666667,0.0,0.0,0,1010.5749999999999,946.1083333333332,2.1666666666666665,0.0,3.5416666666666665,0.0,2.907916666666667,8.741666666666667,77
2000-03-28,27.170833333333334,26.25,5.145833333333333,0.0,0.0,0,1010.8166666666666,946.3333333333334,2.3333333333333335,0.0,3.8333333333333335,0.0,2.89125,10.475,88
